Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2026-03-06 14:21:46 +0000,Machine Hip Abductor, 10,108.86229826455354,0.0,0.0,0.0,0.0,false,booty builder 2x10 70lb total, 1.0
2026-03-06 14:21:46 +0000,Machine Hip Abductor, 10,108.86229826455354,0.0,0.0,0.0,0.0,false,booty builder 2x10 70lb total, 1.0
2026-03-06 14:21:46 +0000,Machine Hip Adductor, 10,90.71858188712795,0.0,0.0,0.0,0.0,false,booty builder 2x10 60lb total, 1.0
2026-03-06 14:21:46 +0000,Machine Hip Adductor, 10,90.71858188712795,0.0,0.0,0.0,0.0,false,booty builder 2x10 60lb total, 1.0
2026-03-06 14:21:46 +0000,Standing Machine Calf Press, 10,167.82917704073998,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-06 14:21:46 +0000,Standing Machine Calf Press, 11,167.82917704073998,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-06 14:21:46 +0000,Standing Machine Calf Press, 10,167.82917704073998,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Barbell Incline Bench Press, 10,20.411656667117025,0.0,0.0,0.0,0.0,true,, 1.0
2026-03-05 14:01:03 +0000,Barbell Incline Bench Press, 6,43.09127518613594,0.0,0.0,0.0,0.0,true,, 1.0
2026-03-05 14:01:03 +0000,Barbell Incline Bench Press, 9,72.57477926086054,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Barbell Incline Bench Press, 7,72.57477926086054,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Barbell Incline Bench Press, 6,72.57477926086054,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Pull Up, 9,4.535923703803784,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Pull Up, 6,4.535923703803784,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Cable Lateral Raise, 11,6.8038855557056745,0.0,0.0,0.0,0.0,false,, 2.0
2026-03-05 14:01:03 +0000,Cable Lateral Raise, 9,6.8038855557056745,0.0,0.0,0.0,0.0,false,, 2.0
2026-03-05 14:01:03 +0000,Behind the Back Cable Bicep Curl, 12,11.339809259509458,0.0,0.0,0.0,0.0,false,, 2.0
2026-03-05 14:01:03 +0000,Behind the Back Cable Bicep Curl, 11,11.339809259509458,0.0,0.0,0.0,0.0,false,, 2.0
2026-03-05 14:01:03 +0000,Cable Rope Overhead Triceps Extension, 11,19.277675741166078,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Cable Rope Overhead Triceps Extension, 11,19.277675741166078,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Cable Crunch, 21,95.25439777987945,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Cable Crunch, 20,95.25439777987945,0.0,0.0,0.0,0.0,false,, 1.0
2026-03-05 14:01:03 +0000,Dumbbell Fly, 11,18.14371637742559,0.0,0.0,0.0,0.0,false,, 2.0
2026-03-04 14:05:12 +0000,Back Squat, 10,20.411656667117025,0.0,0.0,0.0,0.0,true,, 1.0
2026-03-04 14:05:12 +0000,Back Squat, 8,61.23497000135107,0.0,0.0,0.0,0.0,true,, 1.0
2026-03-04 14:05:12 +0000,Back Squat, 4,115.66605444699647,0.0,0.0,0.0,0.0,false,, 1.0
